codigo_municipio,cod_seccion,mos,area_km2,setr,lat,lon,partes
05038,05038300201,287,19.043053707,050383002,6.90061292829,-75.3620589181,1
05038,05038300202,267,17.2049643191,050383002,6.93199808458,-75.3237213068,1
05038,05038300203,271,18.8840127436,050383002,6.88246447963,-75.334626779,1
05038,05038300204,30,16.1811912082,050383002,6.85647630947,-75.3766766065,1
05038,05038300205,12,27.1217972067,050383002,6.8089317457,-75.3844305179,1
05038,05038300206,34,19.0159570438,050383002,6.83249067559,-75.3328372159,1
05038,05038300207,7,13.7439293751,050383002,6.80793103138,-75.3477696766,1
05038,05038300301,52,26.51691423,050383003,6.85703060849,-75.4385894101,1
05038,05038300302,3,20.1723934429,050383003,6.87539409435,-75.3996627727,1
05038,05038300303,1,32.9020570443,050383003,6.81843969561,-75.4463450757,1
05038,05038300304,105,26.072120904,050383003,6.79324089196,-75.4382515803,1
05040,05040300101,0,32.4313022024,050403001,7.35496001966,-75.1315407203,1
05040,05040300102,4,28.7159234224,050403001,7.30623491797,-75.1652896398,1
05040,05040300103,2,23.7636891104,050403001,7.3014357657,-75.1343442159,1
05040,05040300104,13,19.390750027,050403001,7.2513355038,-75.1818286246,1
05040,05040300105,2,23.7229784968,050403001,7.26643329887,-75.1319416208,1
05040,05040300106,6,19.3580027202,050403001,7.22234280165,-75.1621283057,1
05040,05040300201,1,17.651626817,050403002,7.37931410679,-75.0875506616,1
05040,05040300202,4,25.3396725194,050403002,7.39779387222,-75.0430159729,1
05040,05040300203,10,22.566906939,050403002,7.3132746448,-75.0923858806,1
05040,05040300204,5,24.3296774993,050403002,7.33950328093,-75.0687664258,1
05040,05040300205,15,20.4293587648,050403002,7.35482739516,-75.0380779872,1
05040,05040300301,19,22.0078518777,050403003,7.38269308642,-74.9616166123,1
05040,05040300302,0,10.3024430715,050403003,7.40012611571,-74.9097356493,1
05040,05040300303,4,22.6848510953,050403003,7.33433175014,-74.9615868532,1
05040,05040300304,5,13.3479531812,050403003,7.36228113508,-74.9342886307,1
05040,05040300305,20,19.0174788269,050403003,7.30286604955,-74.9478404839,1
05040,05040300306,0,17.0490217183,050403003,7.32879672935,-74.9101823277,1
05040,05040300307,0,4.25386713583,050403003,7.30111697892,-74.9221463386,1
05040,05040300308,1,9.34925298495,050403003,7.37467303321,-74.9087520994,1
05040,05040300309,14,11.1465294149,050403003,7.41212600866,-74.9217411325,1
05040,05040300401,126,20.425753223,050403004,7.35758306091,-74.9957448447,1
05040,05040300402,23,19.3039921125,050403004,7.32543738955,-75.0191992455,1
05040,05040300403,13,18.4316889113,050403004,7.29025269169,-75.0418609415,1
05040,05040300404,8,21.2911152823,050403004,7.29573172673,-75.001241754,1
05040,05040300405,22,13.7756121306,050403004,7.26169385364,-74.9961170398,1
05040,05040300501,0,20.6006507917,050403005,7.25757655777,-75.1004735285,1
05040,05040300502,23,28.7934510924,050403005,7.20614189073,-75.1187230044,1
05040,05040300503,29,27.5388223703,050403005,7.1641254399,-75.1236676265,1
05040,05040300601,43,22.1623095253,050403006,7.19970029979,-75.2990086473,1
05040,05040300602,65,21.0765526822,050403006,7.23845754432,-75.2507498075,1
05040,05040300603,92,21.9233941046,050403006,7.19970241669,-75.2538852211,1
05040,05040300604,45,22.3551695633,050403006,7.1503837787,-75.2851905085,1
05040,05040300605,74,24.4566937772,050403006,7.16589350663,-75.2558081983,1
05040,05040300701,93,21.5978949073,050403007,7.21637484002,-75.2192831628,1
05040,05040300702,33,25.1011233853,050403007,7.19177581978,-75.1768403385,1
05040,05040300703,46,17.5487540473,050403007,7.16577541699,-75.2138177074,1
05040,05040300704,14,24.1801724905,050403007,7.15328308779,-75.1737935616,1
05040,05040300705,23,23.6090615463,050403007,7.11737444423,-75.1801623782,1
05040,05040300801,58,21.195625393,050403008,7.23745414471,-75.0242963605,1
05040,05040300802,55,21.8018105005,050403008,7.26414731689,-74.9577977166,1
05040,05040300803,10,23.6632357762,050403008,7.22572842749,-74.9800481136,1
05040,05040300804,54,28.4670970572,050403008,7.19700755561,-75.0242974706,1
05040,05040300805,48,23.8949717721,050403008,7.16706206138,-75.0343149449,1
05040,05040300901,114,23.3729004808,050403009,7.25750440487,-75.0596046158,1
05040,05040300902,82,25.2695218921,050403009,7.22042909524,-75.0754468953,1
05040,05040300903,80,17.6827561144,050403009,7.16190100864,-75.0866985975,1
05040,05040300904,27,17.8704191495,050403009,7.12933352068,-75.1131286982,1
05040,05040301001,67,22.9331207132,050403010,7.10956746781,-75.091272624,1
05040,05040301002,54,21.9860263525,050403010,7.13381218879,-75.0454348849,1
05040,05040301003,30,20.6172714919,050403010,7.09291761792,-75.0588431309,1
05040,05040301004,15,19.4905895642,050403010,7.06428178545,-75.0823982787,1
05040,05040301005,9,21.262399063,050403010,7.04693580132,-75.1228662523,1
05040,05040301006,13,17.755871454,050403010,7.03364274822,-75.0896705389,1
05040,05040301101,111,17.7157235792,050403011,7.09652514489,-75.2391518702,1
05040,05040301102,183,22.991198464,050403011,7.11628380116,-75.2224112788,1
05040,05040301103,205,22.8699031696,050403011,7.05525612226,-75.2328929775,1
05040,05040301104,112,25.4200373265,050403011,7.07038098499,-75.191632554,1
05040,05040301105,45,21.9270030603,050403011,7.09684867989,-75.142462878,1
05040,05040301201,174,21.8586701492,050403012,7.0217209484,-75.1906896652,1
05040,05040301202,139,22.5215488982,050403012,6.99011574303,-75.2055227521,1
05040,05040301203,11,26.801866008,050403012,6.95516290883,-75.1940254142,1
05040,05040301204,287,21.3496598372,050403012,6.93312266759,-75.1697129639,1
05040,05040301205,254,24.0167666846,050403012,6.96184245255,-75.122364304,1
05040,05040301206,28,24.4567641056,050403012,7.00362771458,-75.0913801974,1
05040,05040301301,124,22.021034011,050403013,7.04281919686,-75.1496396692,1
05040,05040301302,97,29.2635530907,050403013,6.99596003531,-75.1464442907,1
05042,05042300101,94,25.1452858376,050423001,6.60857431396,-75.9893214408,1
05042,05042300102,112,30.9065902658,050423001,6.57174155372,-75.989326131,1
05042,05042300103,190,22.4331779109,050423001,6.58671743751,-75.9443074952,1
05042,05042300104,68,18.225260602,050423001,6.62555701816,-75.9074534338,1
05042,05042300105,72,22.5189527616,050423001,6.58497990179,-75.906408384,1
05042,05042300106,15,17.6889829048,050423001,6.60400102513,-75.8688552425,1
05042,05042300107,109,17.3504228971,050423001,6.65224897332,-75.8531559392,1
05042,05042300108,97,22.2399920473,050423001,6.61924961325,-75.8358224445,1
05042,05042300201,119,23.8942754196,050423002,6.58034844574,-75.8345564094,1
05042,05042300202,75,19.7758572407,050423002,6.54464338667,-75.8789534599,1
05042,05042300203,756,21.9001589315,050423002,6.54442981409,-75.8174091643,1
05042,05042300204,146,21.030651934,050423002,6.52386100872,-75.8464198432,1
05042,05042300205,126,21.8939389624,050423002,6.49774425222,-75.8650841896,1
05042,05042300301,114,29.7081222162,050423003,6.53011810972,-75.9885699003,1
05042,05042300302,6,20.0134272581,050423003,6.50477148318,-76.0074601712,1
05042,05042300303,107,23.439775629,050423003,6.55024459257,-75.9237016909,1
05042,05042300304,895,30.6511751167,050423003,6.51429949377,-75.9283179624,1
05042,05042300305,95,19.4434686861,050423003,6.47962418632,-75.9483987128,1
05042,05042300401,600,22.1945190633,050423004,6.47128868353,-75.9071343116,1
05042,05042300402,295,17.4944434412,050423004,6.42706500354,-75.9217641222,1
05042,05042300403,58,17.4056399443,050423004,6.47296641438,-75.8642958448,1
05042,05042300404,87,18.3246047287,050423004,6.43513232685,-75.8875088725,1
05042,05042300405,86,18.2644169437,050423004,6.4485192007,-75.8442050261,1
05042,05042300406,71,19.6030770751,050423004,6.41843133156,-75.8439984837,1
05044,05044300101,99,23.0289837982,050443001,6.39308460525,-75.8737964624,1
05044,05044300102,198,19.9529043599,050443001,6.3675783346,-75.8818649615,1
